"EST","DTO","MUN","SECC","date","est.punt.densidad","est.punt.LNE","cota.inf.LNE","cota.sup.LNE"
"2","7","1","13",2030-07-01,6882.13249174868,18827.2554167876,18134.5247561959,19519.9860773792
"15","5","2","58",2030-07-01,11024.9732106057,18617.2093732106,18030.4254904857,19203.9932559355
"2","3","1","126",2030-07-01,6551.24630046546,24224.4683155386,21996.854332898,26452.0822981791
"19","7","12","235",2030-07-01,7027.01855096762,34004.6008162865,29264.2244143602,38744.9772182128
"1","2","1","318",2030-07-01,8479.09680219887,20905.8005891687,20097.2971852392,21714.3039930981
"1","3","1","325",2030-07-01,7218.86699492057,29015.5391499164,26353.5204397746,31677.5578600581
"23","3","1","491",2030-07-01,14658.1850052872,24671.0311736513,23551.7015840431,25790.3607632595
"23","4","1","578",2030-07-01,5389.02644746271,79717.4672643627,72468.0601928822,86966.8743358432
"28","4","22","627",2030-07-01,10089.4478814259,27374.2906414481,24567.6144849951,30180.9667979011
"26","6","59","808",2030-07-01,5971.49738882553,25017.654695621,22996.7370530295,27038.5723382125
"19","12","32","844",2030-07-01,8575.65489079447,31472.4511580925,27377.7766472274,35567.1256689575
"19","12","32","845",2030-07-01,6402.55579334703,26480.7044213649,23737.9304355118,29223.478407218
"23","1","8","875",2030-07-01,8003.26369299443,34106.6146117559,32604.9028598496,35608.3263636621
"11","4","15","878",2030-07-01,4960.54386013119,31060.0321569868,27053.8836519882,35066.1806619854
"8","6","19","895",2030-07-01,3023.07140225572,29268.7171745839,26332.4547923422,32204.9795568257
"27","5","13","983",2030-07-01,3195.06890046296,20275.450293169,19450.4828653764,21100.4177209616
"28","9","32","1126",2030-07-01,6350.11180708731,21780.2797169786,21337.2367143603,22223.322719597
"2","4","4","1152",2030-07-01,8333.33104382709,24696.1898649484,22385.4500224548,27006.9297074421
"16","8","54","1192",2030-07-01,4235.78078540779,25438.9290593997,22958.8946927061,27918.9634260934
"21","11","115","1253",2030-07-01,8259.90397157521,21053.2677935551,19887.6330563906,22218.9025307197
"2","4","4","1293",2030-07-01,8838.93141455252,24689.5783800653,23932.2196434624,25446.9371166681
"2","4","4","1421",2030-07-01,11986.5456457818,39876.1560901059,33832.0320907945,45920.2800894173
"19","12","42","1706",2030-07-01,8561.3746737055,20437.3847786685,19909.0485918866,20965.7209654505
"15","41","82","4241",2030-07-01,7674.41492598835,19886.3987190263,19233.8237716868,20538.9736663657
"15","41","82","6262",2030-07-01,7622.54820085415,18726.7021527418,18551.3900127338,18902.0142927499
"15","41","82","6290",2030-07-01,12258.245774922,18325.0075705918,18119.6253272968,18530.3898138868
