"EST","DTO","MUN","SECC","date","est.punt","cota.inf","cota.sup"
"2","7","1","13",2030-07-01,23803.8810240375,23131.9396009158,24475.8224471592
"15","5","2","58",2030-07-01,25347.6923783467,24592.2767097747,26103.1080469187
"2","3","1","126",2030-07-01,22860.9168458081,22056.3562076489,23665.4774839673
"19","7","12","235",2030-07-01,35590.115282392,34753.4138380895,36426.8167266946
"1","2","1","318",2030-07-01,30514.3886652335,29784.7897755135,31243.9875549535
"1","3","1","325",2030-07-01,35533.4137580614,35035.178039565,36031.6494765577
"23","3","1","491",2030-07-01,44611.7678522572,43609.8147395487,45613.7209649657
"23","4","1","578",2030-07-01,122427.662653899,118160.943421081,126694.381886717
"28","4","22","627",2030-07-01,26754.4859683408,25949.2996167374,27559.6723199442
"26","6","59","808",2030-07-01,31769.3464529998,31124.262238163,32414.4306678366
"19","12","32","844",2030-07-01,27994.3426226304,27258.4964236577,28730.1888216032
"19","12","32","845",2030-07-01,24383.4752198554,23465.8026589127,25301.1477807981
"23","1","8","875",2030-07-01,70082.3383036936,65857.8707782582,74306.8058291289
"11","4","15","878",2030-07-01,26373.6185851085,25509.380549052,27237.8566211649
"8","6","19","895",2030-07-01,38153.1453390659,37479.5490601845,38826.7416179472
"27","5","13","983",2030-07-01,33541.2382841509,32815.1483966685,34267.3281716332
"28","9","32","1126",2030-07-01,37005.4548368185,35707.6775991961,38303.2320744409
"2","4","4","1152",2030-07-01,23647.6531170608,22495.4101799945,24799.896054127
"16","8","54","1192",2030-07-01,24603.300195427,23860.0279732826,25346.5724175714
"21","11","115","1253",2030-07-01,25021.8422317764,24382.5200874292,25661.1643761237
"2","4","4","1293",2030-07-01,48059.3856752003,46907.6523339917,49211.1190164089
"2","4","4","1421",2030-07-01,38631.3008403361,37555.3456755481,39707.2560051241
"19","12","42","1706",2030-07-01,42579.0548172758,41529.2416377915,43628.86799676
"15","41","82","4241",2030-07-01,34605.7568301739,33740.4803768045,35471.0332835433
"15","41","82","6262",2030-07-01,43891.8155364471,41905.1610865077,45878.4699863865
"15","41","82","6290",2030-07-01,32985.0225718194,31467.943135345,34502.1020082938
